,year,GS_mean,moving_avg,team
170,2000,14.227272727272728,13.795454545454549,car
171,2001,12.772727272727272,13.647727272727272,car
172,2002,13.454545454545457,13.75,car
173,2003,14.227272727272728,13.670454545454543,car
174,2004,13.545454545454543,13.5,car
175,2005,14.636363636363637,13.965909090909092,car
176,2006,13.772727272727272,14.045454545454543,car
177,2007,13.772727272727272,13.931818181818182,car
178,2008,14.863636363636363,14.261363636363637,car
179,2009,13.318181818181818,13.931818181818182,car
180,2010,13.136363636363637,13.772727272727272,car
181,2011,13.818181818181818,13.78409090909091,car
182,2012,12.909090909090908,13.295454545454549,car
183,2013,13.818181818181818,13.420454545454549,car
184,2014,12.545454545454543,13.272727272727272,car
185,2015,13.863636363636363,13.284090909090908,car
186,2016,12.727272727272728,13.238636363636363,car
187,2017,13.818181818181818,13.238636363636363,car
188,2018,13.5,13.477272727272728,car
189,2019,13.409090909090908,13.363636363636363,car
190,2020,12.681818181818182,13.352272727272728,car
191,2021,12.590909090909092,13.045454545454549,car
192,2022,13.227272727272728,12.977272727272728,car
193,2023,12.772727272727272,12.818181818181818,car
194,2024,12.636363636363637,12.806818181818182,car
195,1960,11.136363636363637,11.136363636363637,chi
196,1961,12.318181818181818,11.727272727272728,chi
197,1962,12.454545454545457,11.969696969696969,chi
198,1963,12.5,12.102272727272728,chi
199,1964,12.0,12.318181818181817,chi
200,1965,12.954545454545457,12.477272727272728,chi
201,1966,13.363636363636363,12.704545454545451,chi
202,1967,12.272727272727272,12.647727272727272,chi
203,1968,12.5,12.772727272727272,chi
204,1969,11.954545454545457,12.522727272727272,chi
205,1970,11.818181818181818,12.136363636363637,chi
206,1971,12.681818181818182,12.238636363636363,chi
207,1972,13.227272727272728,12.420454545454549,chi
208,1973,12.363636363636363,12.522727272727272,chi
209,1974,11.909090909090908,12.545454545454543,chi
210,1975,11.818181818181818,12.329545454545457,chi
211,1976,12.727272727272728,12.204545454545457,chi
212,1977,12.5,12.238636363636363,chi
213,1978,14.590909090909092,12.90909090909091,chi
214,1979,14.590909090909092,13.602272727272728,chi
215,1980,14.954545454545457,14.15909090909091,chi
216,1981,14.181818181818182,14.579545454545457,chi
217,1982,8.363636363636363,13.022727272727272,chi
218,1983,12.909090909090908,12.602272727272728,chi
219,1984,14.272727272727272,12.431818181818182,chi
220,1985,14.818181818181818,12.59090909090909,chi
221,1986,14.636363636363637,14.15909090909091,chi
222,1987,10.681818181818182,13.602272727272728,chi
223,1988,14.181818181818182,13.579545454545451,chi
224,1989,13.727272727272728,13.306818181818183,chi
225,1990,14.590909090909092,13.295454545454543,chi
226,1991,13.909090909090908,14.102272727272728,chi
227,1992,14.181818181818182,14.102272727272728,chi
228,1993,13.909090909090908,14.147727272727272,chi
229,1994,13.5,13.875,chi
230,1995,14.136363636363637,13.931818181818183,chi
231,1996,13.363636363636363,13.727272727272728,chi
232,1997,13.454545454545457,13.613636363636363,chi
233,1998,14.181818181818182,13.78409090909091,chi
234,1999,13.318181818181818,13.579545454545451,chi
235,2000,13.045454545454543,13.5,chi
236,2001,14.363636363636363,13.727272727272728,chi
237,2002,12.590909090909092,13.329545454545451,chi
238,2003,13.454545454545457,13.363636363636363,chi
239,2004,12.363636363636363,13.193181818181818,chi
240,2005,14.0,13.102272727272728,chi
241,2006,14.181818181818182,13.5,chi
242,2007,13.181818181818182,13.431818181818183,chi
243,2008,14.0,13.84090909090909,chi
244,2009,13.772727272727272,13.78409090909091,chi
245,2010,14.363636363636363,13.829545454545457,chi
246,2011,13.181818181818182,13.829545454545457,chi
247,2012,13.545454545454543,13.71590909090909,chi
248,2013,13.590909090909092,13.670454545454549,chi
249,2014,12.909090909090908,13.306818181818182,chi
250,2015,11.954545454545457,13.0,chi
251,2016,11.5,12.488636363636363,chi
252,2017,12.136363636363637,12.125,chi
253,2018,13.772727272727272,12.340909090909092,chi
254,2019,12.727272727272728,12.53409090909091,chi
255,2020,13.136363636363637,12.943181818181818,chi
256,2021,13.181818181818182,13.204545454545451,chi
257,2022,12.818181818181818,12.96590909090909,chi
258,2023,13.454545454545457,13.147727272727272,chi
259,2024,14.818181818181818,13.568181818181818,chi
260,1960,,,cin
261,1961,,,cin
262,1962,,,cin
263,1963,,,cin
264,1964,,,cin
265,1965,,,cin
266,1966,,,cin
267,1967,,,cin
268,1968,11.681818181818182,11.681818181818182,cin
269,1969,12.318181818181818,12.0,cin
